VNA:  37397C
 
MODEL:                       DATE:     11/06/2014  19:15        PAGE 1
DEVICE ID:                   OPERATOR:  
START:      4.600000000 GHz  GATE START:       -        ERROR CORR: NONE       
STOP:       4.660000000 GHz  GATE STOP:        -        AVERAGING:   1 PT 
STEP:       0.000037500 GHz  GATE:             -        IF BNDWDTH: 10 Hz 
                             WINDOW:           - 
                      ---CH1--- 
PARAMETER:              -S21-  
NORMALIZATION:      DATA & MEMORY 
REFERENCE PLANE:         0.0000mm 
SMOOTHING:           0.0 PERCENT 
DELAY APERTURE:           - 
MARKERS: 
MKR     FREQ          MAGNITUDE 
#       GHz              dB 
1     4.619987500     -33.450     
FREQUENCY POINTS: 
PNT     FREQ          MAGNITUDE 
#       GHz              dB 
475    4.617775000    -36.354     
476    4.617812500    -44.323     
477    4.617850000    -63.417     
478    4.617887500    -42.153     
479    4.617925000    -41.507     
480    4.617962500    -37.025     
481    4.618000000    -36.100     
482    4.618037500    -45.606     
483    4.618075000    -36.687     
484    4.618112500    -36.790     
485    4.618150000    -39.921     
486    4.618187500    -37.483     
487    4.618225000    -41.259     
488    4.618262500    -41.363     
489    4.618300000    -34.822     
490    4.618337500    -37.240     
491    4.618375000    -38.721     
492    4.618412500    -34.865     
493    4.618450000    -38.761     
494    4.618487500    -41.879     
495    4.618525000    -37.831     
496    4.618562500    -34.859     
497    4.618600000    -39.127     
498    4.618637500    -38.086     
499    4.618675000    -40.114     
500    4.618712500    -43.309     
501    4.618750000    -40.077     
502    4.618787500    -41.343     
503    4.618825000    -33.596     
504    4.618862500    -37.775     
505    4.618900000    -38.242     
506    4.618937500    -36.194     
507    4.618975000    -35.032     
508    4.619012500    -35.223     
509    4.619050000    -34.099     
510    4.619087500    -31.819     
511    4.619125000    -36.536     
512    4.619162500    -34.284     
513    4.619200000    -35.238     
514    4.619237500    -32.430     
515    4.619275000    -38.390     
516    4.619312500    -32.979     
517    4.619350000    -34.769     
518    4.619387500    -36.638     
519    4.619425000    -34.896     
520    4.619462500    -34.572     
521    4.619500000    -32.853     
522    4.619537500    -35.893     
523    4.619575000    -31.308     
524    4.619612500    -33.796     
525    4.619650000    -32.261     
526    4.619687500    -35.718     
527    4.619725000    -33.260     
528    4.619762500    -31.135     
529    4.619800000    -31.643     
530    4.619837500    -30.369     
531    4.619875000    -34.084     
532    4.619912500    -34.287     
533    4.619950000    -32.567     
534    4.619987500    -33.450     
535    4.620025000    -32.433     
536    4.620062500    -31.868     
537    4.620100000    -30.613     
538    4.620137500    -32.553     
539    4.620175000    -33.469     
540    4.620212500    -30.493     
541    4.620250000    -33.097     
542    4.620287500    -30.126     
543    4.620325000    -31.747     
544    4.620362500    -32.671     
545    4.620400000    -30.128     
546    4.620437500    -32.775     
547    4.620475000    -31.291     
548    4.620512500    -32.061     
549    4.620550000    -31.182     
550    4.620587500    -29.432     
551    4.620625000    -30.112     
552    4.620662500    -29.492     
553    4.620700000    -29.977     
554    4.620737500    -30.489     
555    4.620775000    -31.821     
556    4.620812500    -30.404     
557    4.620850000    -28.607     
558    4.620887500    -30.747     
559    4.620925000    -31.104     
560    4.620962500    -29.897     
561    4.621000000    -30.903     
